word,textbook_count,bnc,frq,zipf
the,116602,1,1,7.73
be,78622,2,2,6.79
to,58213,7,7,7.43
and,49102,4,3,7.41
in,41860,6,6,7.27
of,39232,3,4,7.4
you,30906,15,14,6.98
a,28862,5,5,7.36
do,23592,19,18,6.35
it,20595,9,10,6.95
have,19282,8,8,6.71
i,19180,4624,11,7.09
for,16151,12,13,7.01
with,14751,16,16,6.85
that,14706,14,12,7.01
not,14414,13,28,6.69
what,14245,38,34,6.38
on,13945,17,17,6.91
your,13923,66,69,6.53
about,13280,63,46,6.4
we,12950,26,24,6.54
he,12674,11,15,6.69
they,12577,18,21,6.5
can,11041,35,37,6.46
at,9681,22,22,6.7
this,9526,23,20,6.82
or,9057,29,32,6.54
make,9044,43,45,6.08
as,8812,33,33,6.77
use,8706,87,92,5.81
person,8585,308,345,5.55
my,8509,61,44,6.57
go,8076,44,35,6.03
from,7972,27,26,6.63
how,7449,90,76,6.24
will,7258,31,48,6.45
like,6986,88,74,6.41
good,6594,73,110,6.12
his,6263,25,25,6.51
when,6139,54,57,6.37
by,6069,20,30,6.66
but,6013,24,23,6.63
write,5984,211,228,5.03
word,5871,196,244,5.26
she,5858,21,31,6.26
read,5748,322,337,5.54
time,5684,50,52,6.29
think,5659,64,56,6.08
there,5635,37,53,6.31
get,5630,41,39,6.28
take,5598,51,63,5.92
up,5598,52,50,6.39
work,5465,125,117,5.96
some,5270,53,60,6.2
more,5081,74,81,6.36
out,4932,62,64,6.38
school,4794,165,125,5.71
help,4682,204,167,5.75
all,4659,39,43,6.52
day,4587,95,90,5.95
her,4583,42,42,6.3
look,4508,82,85,5.81
so,4490,48,55,6.52
their,4375,36,36,6.33
listen,4330,850,609,5.06
know,4259,49,47,6.1
see,4162,47,67,6.1
other,4112,69,75,6.16
if,4067,40,40,6.47
give,3999,71,98,5.71
n.,3954,0,0,5.15
would,3909,34,41,6.27
question,3882,221,197,5.35
then,3831,59,77,6.07
many,3772,98,99,5.91
's,3750,0,0,5.86
say,3750,32,19,5.89
year,3681,56,54,5.96
come,3600,65,70,5.78
why,3599,169,158,5.93
talk,3590,289,168,5.42
no,3576,68,93,6.35
find,3466,92,95,5.76
sentence,3464,1168,2036,4.58
life,3454,128,114,5.89
our,3444,93,79,6.14
play,3362,224,200,5.61
who,3329,45,38,6.34
thing,3305,106,97,5.72
new,3238,81,88,6.25
friend,3230,281,265,5.37
complete,3229,998,1207,5.1
world,3216,146,123,5.89
b,3206,2992,0,5.35
want,3201,94,83,6.04
very,3196,80,105,6.0
learn,3145,520,304,5.17
now,3084,67,72,6.18
student,3069,432,157,5.02
which,3058,28,58,6.3
after,2951,96,120,6.11
answer,2941,808,767,5.17
way,2934,86,84,6.01
first,2901,79,86,6.11
follow,2846,186,325,5.14
story,2827,542,233,5.45
well,2754,84,100,6.03
group,2753,142,163,5.57
english,2729,18425,1782,5.19
most,2719,153,144,6.0
should,2716,85,121,5.99
