单词,总次数
to,2825
in,2801
of,2507
...,2199
the,2100
a,1910
on,1806
be,1708
up,1581
out,1331
for,1243
with,1101
take,1023
at,954
make,754
sth.,742
get,735
as,734
go,706
do,680
down,677
from,666
one's,660
sb.,645
off,618
have,614
look,559
by,558
away,544
come,492
all,490
about,477
put,462
into,442
time,440
turn,429
over,428
keep,411
and,407
back,376
play,330
set,313
give,309
way,308
run,293
good,290
not,278
break,278
after,277
hand,276
no,268
doing,263
long,261
fall,259
an,248
that,246
school,244
day,243
call,235
right,235
more,235
around,234
room,233
so,232
through,228
now,227
work,224
think,224
bring,222
like,222
one,220
is,219
far,217
well,216
cut,216
help,215
show,212
hold,208
than,207
end,205
place,201
how,201
lose,200
other,197
it,195
part,194
watch,191
see,190
or,190
I,190
pass,187
care,186
live,186
stand,185
some,185
you,184
let,183
short,183
but,183
great,183
once,181
under,181
face,181
pay,180
first,180
many,180
leave,179
high,177
close,177
along,175
try,173
catch,173
year,171
sure,171
upon,171
life,170
if,170
home,169
talk,169
name,168
tell,167
phone,166
feel,165
use,165
fun,165
can,164
point,164
used,164
too,164
then,163
last,163
head,162
clean,162
mind,161
stay,161
pick,160
eye,160
next,160
again,159
class,159
draw,159
hot,159
pull,158
book,158
little,158
touch,157
number,157
table,157
carry,156
walk,156
much,156
meet,155
bed,155
foot,155
cold,154
deal,154
light,153
throw,153
water,153
case,153
before,152
forward,152
wait,152
die,151
present,151
front,150
lie,150
read,150
love,150
park,150
fire,150
dog,150
control,149
jump,149
across,149
send,149
what,149
free,148
date,148
fly,148
find,148
side,148
hear,148
knock,148
old,148
oneself,148
dress,147
cool,147
order,146
result,146
air,146
any,145
arm,145
lead,144
start,144
same,144
drop,144
ice,144
only,143
speak,143
computer,143
open,143
say,143
rather,143
there,143
check,142
every,141
charge,141
against,141
tired,141
living,141
ahead,141
kind,141
pencil,141
eat,140
bear,140
would,140
ready,140
attention,139
together,139
are,139
lot,138
tennis,137
write,137
box,137
fish,137
music,137
best,137
stop,136
sight,136
know,136
moment,136
card,135
heart,135
train,135
matter,135
night,135
ride,134
line,134
agree,134
bus,134
own,134
example,133
food,133
bad,133
wear,133
wash,133
just,133
even,133
visit,133
fine,133
cream,133
apart,132
hang,132
office,132
word,132
famous,132
your,132
ask,131
red,131
car,131
film,131
doctor,130
lay,130
orange,130
blue,130
this,130
join,129
effect,129
football,129
learn,129
stick,129
ring,129
left,129
wind,129
me,129
easy,128
hurry,128
listen,128
fact,128
move,128
world,128
big,128
will,127
being,127
cook,127
art,126
surprise,126
sense,126
teacher,126
dance,126
party,126
behind,126
need,126
feed,126
soon,126
my,126
science,125
drink,125
something,125
green,125
sit,125
afraid,125
breath,125
depend,125
family,125
angry,125
spring,125
floor,125
different,125
busy,125
round,125
lunch,125
least,125
happy,124
black,124
human,124
