单词,总次数
ability,6
able,6
about,6
above,6
abroad,6
absent,6
accept,6
accident,6
ache,6
achieve,6
across,6
active,6
activity,6
add,6
address,6
advice,6
afford,6
afraid,6
after,6
against,6
agree,6
alive,6
all,6
allow,6
almost,6
alone,6
aloud,6
already,6
also,6
although,6
always,6
ancient,6
angry,6
another,6
answer,6
any,6
anyone,6
anything,6
anyway,6
anywhere,6
appear,6
arm,6
around,6
arrive,6
article,6
as,6
ask,6
asleep,6
attention,6
avoid,6
away,6
back,6
background,6
bear,6
because,6
before,6
behind,6
believe,6
below,6
beside,6
between,6
beyond,6
bill,6
bit,6
board,6
born,6
borrow,6
both,6
breath,6
business,6
busy,6
but,6
by,6
call,6
camp,6
cancel,6
care,6
careless,6
carry,6
cause,6
celebrate,6
certain,6
chance,6
change,6
cheat,6
check,6
cheer,6
chest,6
choice,6
chopsticks,6
circle,6
clap,6
clear,6
climb,6
close,6
coach,6
collect,6
comfortable,6
common,6
communicate,6
compare,6
competition,6
complete,6
condition,6
conference,6
connect,6
continue,6
control,6
conversation,6
copy,6
corner,6
correct,6
could,6
count,6
couple,6
courage,6
course,6
cover,6
crazy,6
create,6
cross,6
cruel,6
cry,6
culture,6
danger,6
dangerous,6
dare,6
date,6
deaf,6
deal,6
decide,6
deep,6
dentist,6
depend,6
describe,6
develop,6
dialogue,6
die,6
difference,6
difficult,6
direct,6
discover,6
discuss,6
disease,6
dismiss,6
disturb,6
divide,6
double,6
doubt,6
dozen,6
dress,6
drop,6
drug,6
duck,6
dumpling,6
during,6
duty,6
each,6
early,6
edge,6
effort,6
either,6
elder,6
electric,6
else,6
empty,6
encourage,6
end,6
energy,6
engineer,6
enjoy,6
enough,6
enter,6
environment,6
especially,6
even,6
ever,6
every,6
everybody,6
everyday,6
everyone,6
everything,6
everywhere,6
examine,6
example,6
excellent,6
except,6
excite,6
excuse,6
exercise,6
expect,6
expensive,6
experience,6
experiment,6
explain,6
express,6
face,6
fact,6
fail,6
fair,6
family,6
famous,6
fan,6
fantastic,6
fear,6
festival,6
fetch,6
few,6
fill,6
final,6
fine,6
finish,6
fire,6
fit,6
fix,6
flat,6
follow,6
for,6
force,6
foreign,6
fork,6
form,6
forward,6
free,6
fresh,6
front,6
full,6
fun,6
future,6
general,6
gift,6
hall,6
hamburger,6
hand,6
happen,6
hardly,6
hate,6
health,6
heat,6
height,6
help,6
helpful,6
honest,6
hope,6
housework,6
how,6
however,6
hurry,6
idea,6
imagine,6
immediately,6
important,6
improve,6
include,6
increase,6
influence,6
inside,6
insist,6
instead,6
instruction,6
interest,6
international,6
interview,6
introduce,6
invent,6
invite,6
iron,6
join,6
joke,6
jump,6
just,6
key,6
kick,6
kill,6
kilo,6
kind,6
kiss,6
knee,6
knock,6
lamb,6
lamp,6
land,6
large,6
last,6
late,6
laugh,6
lay,6
learn,6
least,6
left,6
lesson,6
level,6
license,6
lie,6
lift,6
light,6
like,6
line,6
list,6
listen,6
lock,6
lonely,6
look,6
love,6
mad,6
magic,6
mail,6
main,6
manage,6
mark,6
marry,6
master,6
match,6
may,6
maybe,6
medical,6
member,6
memory,6
mend,6
mention,6
menu,6
message,6
middle,6
mind,6
mine,6
miss,6
modern,6
moment,6
move,6
must,6
natural,6
nature,6
near,6
necessary,6
need,6
neither,6
nervous,6
never,6
next,6
nobody,6
none,6
nor,6
normal,6
note,6
nothing,6
notice,6
number,6
object,6
of,6
off,6
offer,6
often,6
old,6
on,6
once,6
one,6
only,6
open,6
or,6
other,6
outside,6
over,6
own,6
pair,6
pancake,6
park,6
part,6
pass,6
passage,6
passport,6
past,6
peace,6
percent,6
perfect,6
perhaps,6
period,6
pet,6
physics,6
pick,6
piece,6
pity,6
place,6
plain,6
plan,6
plant,6
play,6
pleasant,6
please,6
pleasure,6
plenty,6
point,6
polite,6
poor,6
popular,6
position,6
possible,6
post,6
pound,6
practice,6
praise,6
prepare,6
prevent,6
pride,6
primary,6
print,6
private,6
prize,6
produce,6
progress,6
promise,6
pronounce,6
proper,6
protect,6
proud,6
prove,6
provide,6
public,6
pull,6
punish,6
question,6
quite,6
race,6
raise,6
rather,6
reach,6
ready,6
real,6
receive,6
recite,6
record,6
refuse,6
regard,6
regret,6
relation,6
relax,6
remain,6
remember,6
repair,6
repeat,6
reply,6
report,6
require,6
rest,6
result,6
return,6
review,6
risk,6
robot,6
role,6
round,6
row,6
rubbish,6
rule,6
rush,6
sail,6
sale,6
same,6
score,6
screen,6
search,6
seat,6
second,6
seem,6
seldom,6
sense,6
separate,6
serious,6
shame,6
shape,6
share,6
should,6
shout,6
show,6
sick,6
sight,6
silent,6
similar,6
simple,6
since,6
single,6
situation,6
skate,6
skill,6
slow,6
smile,6
smoke,6
so,6
social,6
solid,6
some,6
somebody,6
someone,6
something,6
sometimes,6
somewhere,6
soon,6
sort,6
sound,6
sour,6
space,6
special,6
speech,6
speed,6
spirit,6
spoon,6
square,6
stamp,6
standard,6
start,6
state,6
stay,6
step,6
still,6
stomach,6
stop,6
strange,6
strict,6
stupid,6
succeed,6
success,6
such,6
sudden,6
suggest,6
supply,6
sure,6
swing,6
symbol,6
talk,6
taste,6
term,6
terrible,6
test,6
than,6
that,6
then,6
there,6
though,6
thought,6
tie,6
till,6
tired,6
together,6
too,6
top,6
total,6
touch,6
trade,6
traditional,6
train,6
translate,6
treasure,6
trip,6
trouble,6
trust,6
truth,6
try,6
turn,6
twice,6
ugly,6
under,6
unit,6
unless,6
until,6
up,6
use,6
usual,6
value,6
very,6
visit,6
wait,6
walk,6
want,6
wash,6
waste,6
watch,6
watermelon,6
way,6
weak,6
wealth,6
weight,6
welcome,6
western,6
wet,6
what,6
whatever,6
when,6
whenever,6
whether,6
which,6
while,6
who,6
whole,6
whom,6
whose,6
why,6
wide,6
wise,6
wish,6
with,6
without,6
wonder,6
wonderful,6
word,6
work,6
worry,6
worth,6
wound,6
write,6
yet,6
zebra,6
act,5
action,5
advertisement,5
advise,5
afternoon,5
again,5
age,5
ago,5
air,5
airline,5
airplane,5
airport,5
along,5
America,5
among,5
and,5
animal,5
ant,5
apple,5
April,5
area,5
art,5
Asia,5
at,5
Atlantic,5
August,5
aunt,5
Australia,5
autumn,5
available,5
bag,5
ball,5
balloon,5
bamboo,5
banana,5
bank,5
basic,5
basket,5
basketball,5
bathroom,5
be,5
beach,5
beautiful,5
bed,5
bee,5
bell,5
besides,5
big,5
bike,5
bird,5
birth,5
birthday,5
biscuit,5
bitter,5
black,5
blackboard,5
blind,5
blood,5
blue,5
boat,5
book,5
boring,5
boss,5
bottle,5
bottom,5
bowl,5
box,5
boy,5
brain,5
brave,5
bread,5
breakfast,5
breathe,5
bridge,5
bright,5
brother,5
brown,5
building,5
bus,5
butter,5
cabbage,5
cake,5
camera,5
Canada,5
candle,5
candy,5
cap,5
capital,5
captain,5
car,5
card,5
careful,5
cat,5
cent,5
centre,5
century,5
chair,5
chairman,5
chalk,5
chant,5
cheap,5
cheese,5
chemistry,5
chess,5
chicken,5
China,5
Chinese,5
chocolate,5
Christmas,5
church,5
cinema,5
city,5
class,5
clean,5
clever,5
clock,5
clone,5
clothes,5
cloud,5
cloudy,5
club,5
coal,5
coast,5
coat,5
coffee,5
coin,5
cold,5
college,5
company,5
composition,5
computer,5
concert,5
cook,5
cool,5
cotton,5
cough,5
country,5
countryside,5
cousin,5
cow,5
crayon,5
cup,5
daily,5
dance,5
dark,5
daughter,5
day,5
dead,5
dear,5
death,5
December,5
decision,5
delicious,5
diary,5
dictionary,5
different,5
difficulty,5
dinner,5
dirty,5
discovery,5
discussion,5
dish,5
doctor,5
dog,5
doll,5
dollar,5
door,5
down,5
downstairs,5
drawer,5
drum,5
dry,5
ear,5
earth,5
east,5
easy,5
education,5
egg,5
eight,5
eighteen,5
eighth,5
eighty,5
elephant,5
eleven,5
enemy,5
England,5
English,5
eraser,5
Europe,5
European,5
evening,5
eye,5
farm,5
farmer,5
fast,5
fat,5
father,5
February,5
fever,5
field,5
fifteen,5
fifth,5
fifty,5
film,5
finger,5
first,5
fish,5
five,5
flag,5
floor,5
flower,5
flu,5
fly,5
food,5
football,5
forest,5
forty,5
four,5
fourteen,5
fourth,5
fox,5
Friday,5
fridge,5
friend,5
friendly,5
friendship,5
frog,5
fruit,5
funny,5
game,5
gate,5
gentleman,5
geography,5
giraffe,5
girl,5
glad,5
goal,5
grade,5
greeting,5
group,5
guard,5
guess,5
half,5
ham,5
handbag,5
handsome,5
happy,5
hard,5
hat,5
he,5
head,5
heart,5
heaven,5
heavy,5
hen,5
her,5
hers,5
here,5
high,5
hill,5
him,5
himself,5
his,5
hobby,5
holiday,5
home,5
hometown,5
homework,5
horse,5
hospital,5
hot,5
hotel,5
hour,5
house,5
huge,5
human,5
hundred,5
hungry,5
husband,5
I,5
ice,5
if,5
ill,5
illness,5
in,5
India,5
industry,5
information,5
ink,5
intention,5
interesting,5
into,5
island,5
it,5
its,5
itself,5
jacket,5
January,5
Japan,5
jeans,5
job,5
joy,5
juice,5
June,5
kid,5
king,5
kitchen,5
kite,5
knowledge,5
lab,5
lady,5
lake,5
language,5
law,5
lazy,5
lead,5
leaf,5
leg,5
letter,5
library,5
lion,5
litter,5
live,5
lively,5
London,5
long,5
lot,5
loud,5
lovely,5
low,5
luck,5
lunch,5
machine,5
madam,5
magazine,5
map,5
market,5
marriage,5
me,5
meal,5
meaning,5
meat,5
medicine,5
meeting,5
metal,5
method,5
mile,5
milk,5
minute,5
mirror,5
model,5
Monday,5
money,5
monkey,5
month,5
moon,5
morning,5
mother,5
mountain,5
mouth,5
movie,5
murder,5
museum,5
music,5
my,5
myself,5
name,5
national,5
nearly,5
neck,5
new,5
newspaper,5
nice,5
night,5
nine,5
nineteen,5
ninety,5
ninth,5
nod,5
noise,5
noodle,5
noon,5
north,5
northern,5
nose,5
not,5
notebook,5
November,5
now,5
nurse,5
October,5
office,5
oil,5
OK,5
oneself,5
operation,5
orange,5
order,5
our,5
ours,5
ourselves,5
out,5
owner,5
package,5
page,5
panda,5
paper,5
pardon,5
parent,5
passenger,5
path,5
patient,5
pear,5
pen,5
pencil,5
people,5
person,5
personal,5
picnic,5
picture,5
pie,5
pink,5
pioneer,5
plane,5
planet,5
plastic,5
plate,5
pocket,5
poem,5
police,5
pond,5
pool,5
population,5
pork,5
postcard,5
postman,5
potato,5
present,5
president,5
pretty,5
price,5
prison,5
problem,5
pronunciation,5
pupil,5
purple,5
purse,5
push,5
quarter,5
queen,5
quick,5
quiet,5
rabbit,5
radio,5
railway,5
rain,5
raincoat,5
rapid,5
rat,5
recent,5
red,5
research,5
restaurant,5
retell,5
rice,5
rich,5
right,5
river,5
road,5
rock,5
room,5
rope,5
rose,5
rubber,5
ruler,5
sad,5
safe,5
safety,5
salad,5
salt,5
sand,5
sandwich,5
Saturday,5
sausage,5
save,5
scarf,5
school,5
schoolbag,5
science,5
scientist,5
sea,5
season,5
secret,5
secretary,5
sentence,5
September,5
servant,5
service,5
seven,5
seventeen,5
seventh,5
seventy,5
several,5
she,5
ship,5
shirt,5
shoe,5
shop,5
short,5
shoulder,5
shower,5
shy,5
side,5
silk,5
silly,5
sir,5
sister,5
six,5
sixteen,5
sixth,5
sixty,5
size,5
skirt,5
sky,5
sleepy,5
small,5
smart,5
snake,5
snow,5
soap,5
society,5
sofa,5
soft,5
soldier,5
son,5
song,5
sorry,5
soup,5
south,5
southern,5
spring,5
station,5
stone,5
store,5
storm,5
story,5
strawberry,5
stream,5
street,5
strong,5
student,5
study,5
subject,5
successful,5
sugar,5
suggestion,5
sun,5
Sunday,5
sunny,5
supermarket,5
supper,5
suppose,5
surface,5
surprise,5
sweet,5
table,5
tail,5
tale,5
tall,5
tape,5
task,5
taxi,5
tea,5
teacher,5
team,5
technology,5
telephone,5
temperature,5
ten,5
